VTX,IDX,in_POSITION0.x,in_POSITION0.y,in_POSITION0.z,in_TEXCOORD0.x,in_TEXCOORD0.y,in_TEXCOORD1.x,in_TEXCOORD1.y,in_TEXCOORD2.x,in_TEXCOORD2.y
0,1682,122.80138397216797,3.2142744064331055,48.15916061401367,0.125,0.125,0.125,0.125,0.125,0.125
1,1683,125.43010711669922,2.2498064041137695,49.64339065551758,0.25,0.125,0.25,0.125,0.25,0.125
2,1684,125.86172485351562,0.021918535232543945,47.43124771118164,0.25,0.0,0.25,0.0,0.25,0.0
3,1682,122.80138397216797,3.2142744064331055,48.15916061401367,0.125,0.125,0.125,0.125,0.125,0.125
4,1684,125.86172485351562,0.021918535232543945,47.43124771118164,0.25,0.0,0.25,0.0,0.25,0.0
5,1685,123.23299407958984,0.986386239528656,45.947017669677734,0.125,0.0,0.125,0.0,0.125,0.0
6,1686,122.42671203613281,2.5094943046569824,47.74956130981445,0.875,0.375,0.875,0.375,0.875,0.375
7,1687,124.37705993652344,2.1536943912506104,49.277687072753906,1.0,0.375,1.0,0.375,1.0,0.375
8,1688,125.16658782958984,0.26949262619018555,47.831302642822266,1.0,0.25,1.0,0.25,1.0,0.25
9,1686,122.42671203613281,2.5094943046569824,47.74956130981445,0.875,0.375,0.875,0.375,0.875,0.375
10,1688,125.16658782958984,0.26949262619018555,47.831302642822266,1.0,0.25,1.0,0.25,1.0,0.25
11,1689,123.21624755859375,0.6252925395965576,46.30317687988281,0.875,0.25,0.875,0.25,0.875,0.25
12,1690,122.85651397705078,2.3242621421813965,47.44774627685547,0.75,0.625,0.75,0.625,0.75,0.625
13,1691,124.73439025878906,1.8512649536132812,48.76432800292969,0.875,0.625,0.875,0.625,0.875,0.625
14,1692,125.324462890625,0.1209072470664978,47.30104446411133,0.875,0.5,0.875,0.5,0.875,0.5
15,1690,122.85651397705078,2.3242621421813965,47.44774627685547,0.75,0.625,0.75,0.625,0.75,0.625
16,1692,125.324462890625,0.1209072470664978,47.30104446411133,0.875,0.5,0.875,0.5,0.875,0.5
17,1693,123.44658660888672,0.593904435634613,45.98446273803711,0.75,0.5,0.75,0.5,0.75,0.5
18,1694,122.5675048828125,1.4567017555236816,47.348411560058594,0.625,0.875,0.625,0.875,0.625,0.875
19,1695,123.46033477783203,2.0987043380737305,49.00308609008789,0.75,0.875,0.75,0.875,0.75,0.875
20,1696,124.87169647216797,0.7187833189964294,48.77694320678711,0.75,0.75,0.75,0.75,0.75,0.75
21,1694,122.5675048828125,1.4567017555236816,47.348411560058594,0.625,0.875,0.625,0.875,0.625,0.875
22,1696,124.87169647216797,0.7187833189964294,48.77694320678711,0.75,0.75,0.75,0.75,0.75,0.75
23,1697,123.9788589477539,0.07678079605102539,47.12226867675781,0.625,0.75,0.625,0.75,0.625,0.75
